concept_name,week,description,learning_objectives,prerequisites,difficulty,time_estimate,keywords
Tokenization,W00,"Text split into small units (tokens). Foundation of all LLM processing. Understand BPE subword and character tokenization.","Understand token units,Compare tokenization methods,Analyze token efficiency",None,beginner,45,"token, tokenization, text processing, BPE"
Embeddings,W00,"Tokens converted to vectors (numerical representations). Semantic meaning encoded in high-dimensional space.","Convert tokens to vectors,Visualize embedding space,Measure semantic similarity",Tokenization,beginner,60,"embedding, vector, representation, semantic"
Attention,W00,"How each token/vector relates to every other. Self-attention mechanism computes contextual relationships.","Understand attention mechanism,Visualize attention patterns,Compute attention scores",Embeddings,intermediate,75,"attention, self-attention, transformer, context"
Transformer Layers,W00,"Stacked attention + feedforward blocks. Multiple layers apply attention and transformations repeatedly.","Understand layer composition,Trace data through layers,Analyze layer outputs",Attention,intermediate,60,"transformer, layers, feedforward, deep learning"
Tensors,W00,"Data and weights stored and computed in tensors (multi-dimensional arrays). Core data structure for deep learning.","Manipulate tensor shapes,Understand broadcasting,Perform tensor operations",None,beginner,45,"tensor, array, numpy, pytorch"
LLM Architecture,W00,"Complete overview of Large Language Model architecture from tokens to output.","Understand LLM structure,Identify key components,Explain model flow",Transformer Layers,intermediate,90,"LLM, architecture, GPT, language model"
Prompt Engineering,W01,"Design effective prompts to get desired outputs from LLMs. Zero-shot, few-shot, and chain-of-thought techniques.","Design effective prompts,Apply prompt patterns,Optimize prompt structure",LLM Architecture,beginner,60,"prompt, engineering, zero-shot, few-shot, CoT"
Temperature and Sampling,W01,"Control randomness and creativity in LLM outputs through temperature and sampling parameters.","Understand temperature effects,Apply sampling strategies,Control output randomness",Prompt Engineering,beginner,45,"temperature, sampling, randomness, creativity"
RAG Foundations,W02,"Retrieval-Augmented Generation combines retrieval with generation for accurate, contextual responses.","Understand RAG architecture,Implement RAG pipeline,Evaluate RAG systems",Embeddings,intermediate,90,"RAG, retrieval, augmented generation, context"
Data Engineering for RAG,W02,"Prepare and structure data for RAG systems. Data cleaning, chunking, and preprocessing.","Prepare data for RAG,Implement chunking strategies,Optimize data structure",RAG Foundations,intermediate,75,"data engineering, chunking, preprocessing, RAG"
Vector Databases,W02,"Store and retrieve embeddings efficiently using vector databases. FAISS, Pinecone, and similar tools.","Use vector databases,Implement similarity search,Optimize retrieval",Embeddings,intermediate,60,"vector database, FAISS, Pinecone, similarity search"
RAG Production,W03,"Production-ready RAG systems with hybrid search, reranking, and evaluation metrics.","Implement hybrid search,Apply reranking,Evaluate RAG performance",RAG Foundations,advanced,120,"hybrid search, reranking, evaluation, production RAG"
Context Window Management,W03,"Manage context windows effectively in RAG systems. Handle long documents and optimize context usage.","Manage context windows,Optimize context usage,Handle long documents",RAG Production,intermediate,75,"context window, token limits, optimization"
Hallucination Detection,W03,"Identify and prevent hallucinations in RAG outputs. Implement validation and verification.","Detect hallucinations,Implement validation,Prevent false information",RAG Production,intermediate,60,"hallucination, validation, verification, accuracy"
Fine-tuning,W04,"Adapt pre-trained LLMs to specific tasks through fine-tuning. Transfer learning for LLMs.","Understand fine-tuning,Apply transfer learning,Evaluate fine-tuned models",LLM Architecture,advanced,120,"fine-tuning, transfer learning, adaptation, training"
PEFT Techniques,W04,"Parameter-Efficient Fine-Tuning using LoRA, QLoRA, and other efficient methods.","Apply PEFT techniques,Use LoRA/QLoRA,Optimize fine-tuning",Fine-tuning,advanced,90,"PEFT, LoRA, QLoRA, efficient fine-tuning"
Dataset Preparation,W04,"Prepare and structure datasets for fine-tuning. Data quality and format requirements.","Prepare fine-tuning datasets,Ensure data quality,Format data correctly",Fine-tuning,intermediate,60,"dataset, preparation, data quality, formatting"
Inference Optimization,W05,"Optimize LLM inference for speed and cost. Quantization and optimization techniques.","Optimize inference speed,Apply quantization,Reduce inference costs",LLM Architecture,intermediate,90,"inference, optimization, quantization, performance"
Quantization,W05,"Reduce model size and speed up inference through quantization techniques.","Understand quantization,Apply quantization techniques,Evaluate trade-offs",Inference Optimization,intermediate,75,"quantization, model compression, efficiency"
Cost Optimization,W05,"Strategies to reduce LLM deployment and inference costs.","Analyze costs,Implement cost optimization,Monitor spending",Inference Optimization,beginner,45,"cost, optimization, budget, efficiency"
Safety and Guardrails,W06,"Implement safety measures and guardrails for LLM applications. Content moderation and validation.","Implement safety measures,Apply guardrails,Moderate content",LLM Architecture,intermediate,90,"safety, guardrails, moderation, security"
Content Moderation,W06,"Detect and filter inappropriate or harmful content in LLM outputs.","Implement content moderation,Detect harmful content,Filter outputs",Safety and Guardrails,intermediate,60,"content moderation, filtering, safety"
Input Validation,W06,"Validate and sanitize inputs to LLM systems to prevent attacks and errors.","Validate inputs,Sanitize data,Prevent attacks",Safety and Guardrails,intermediate,45,"input validation, sanitization, security"
AI Agents,W07,"Build autonomous AI agents that can perform tasks, make decisions, and interact with environments.","Build AI agents,Implement agent workflows,Design agent systems",RAG Production,advanced,120,"agents, autonomous, workflows, decision making"
Agent Workflows,W07,"Design and implement workflows for AI agents. Task planning and execution.","Design agent workflows,Plan tasks,Execute agent actions",AI Agents,advanced,90,"workflows, planning, execution, agents"
Multimodal AI,W08,"Integrate text, images, and other modalities in AI systems. Vision-language models.","Work with multimodal data,Integrate modalities,Use vision-language models",LLM Architecture,intermediate,90,"multimodal, vision, images, VLM"
Agentic RAG,W09,"Combine RAG with agent capabilities for more intelligent retrieval and generation.","Build agentic RAG systems,Combine agents with RAG,Optimize agentic workflows","AI Agents, RAG Production",advanced,120,"agentic RAG, intelligent retrieval, agent workflows"
Multi-Agent Systems,W10,"Design and coordinate multiple AI agents working together on complex tasks.","Design multi-agent systems,Coordinate agents,Handle agent communication",AI Agents,advanced,120,"multi-agent, coordination, collaboration, systems"
Reinforcement Fine-Tuning,W11,"Use reinforcement learning to fine-tune LLMs. RLHF and related techniques.","Understand RLHF,Apply reinforcement learning,Fine-tune with RL",Fine-tuning,advanced,120,"RLHF, reinforcement learning, fine-tuning, RL"